lat,lon,pc_code,pc_location,pc_name
35.03203636,69.20299542,0301029,"Deh Mula Yousuf","Deh Molla Yousuf Mosque"
35.08351695,69.25291624,0304039,"Saded Khel Bazar","Darul Hifaaz Said Khel"
33.72644783,68.48496767,0405129,"Kurbat Baghak","Private House"
34.31130639,68.1591216,0407025,"Qala-E-Sayed Temor","Qala-E-Sayed Temor School"
34.3975647,70.43396128,0602069,"Farm Hada ","Wazir Mohammad Gul Khan High School"
34.28889212,70.39291976,0604116,"Kandibagh Badol Village","Aama Dera (Baghcha)"
34.41472382,70.58077402,0605150,"Qala-E- Akhund ","Wakel Bagh"
34.60529142,70.61419035,0606186,"Loy Kalay","Loy Kalay Mosque"
34.57615245,70.5713474,0606209,"Kohna Deh","Mosque"
34.2386694,70.51245226,0607145,"Kadee","Kadee Mosque"
34.2863532,70.10030323,0608295,"Memla","Ghulam Haidar Khan High School"
34.26818253,70.96236587,0618504,"Gul Daag Village","Gul Daag Village"
34.07527803,70.96479851,0622412,"Sra Gata","Sra Gata Secondary School"
34.99639712,69.89378153,0705112,"Gandomak","Gamndok Mosque"
35.29328435,69.49858248,0801006,"Khan Khez","Khan Khez Mosque"
35.32064689,69.63964523,0803062,"Pojawa","Deh Pojawa Old Mosque"
35.68795377,70.08305324,0807076,"Kalkoa","Kalkoa Mosque "
36.0433474,68.65928913,0901040,"Aka Khel Village","Aka Khel Mosque Garden"
35.90047338,68.46644947,0902087,"Tajikha Dahana Bala","Tajikaha Dahana Bala School"
36.13276995,68.73850708,0905054,"Road 11","Meya Gul Shahid Secondary School"
35.62697115,69.1394656,0907125,"Kaftar Khana Village","Kafter Khana High School"
35.92660605,69.2517169,0909199,"Yarm Sufla ","Yarm Sufla Madrassa"
34.85498153,67.53253152,1001017,"Jeem Qala-E-Petaw","Monbar Jeem Qala"
35.38349881,67.89193464,1004062,"Chokri Dara","Chokri Dara Mosque"
34.47842821,67.21463234,1006102,"Kaf Qol","Kaf Qol Mosque"
34.2997626,66.77106596,1007124,"Qala-E-Sokhta","Qala-E-Sokhta Mosque"
34.06707043,67.18121245,1007146,"Dewan","Dewan Mosque"
33.54419742,68.36204028,1101054,"Qala-E-Kuchi","Haji Alakh Mosque"
33.521499454,68.01160705,1106107,"Qabaq Jay Village","Qoul Asel Old School "
33.67602767,68.15017367,1109093,"Laghari Village","Laghari Village Mosque"
32.87890108,67.4694809,1117395,"Bangish Village","Bangish Village Mosque"
32.80979797,68.47124917,1207095,"Mohammad Hassan","Mohammad Hassan Mosque"
32.30875505,69.00023064,1208130,"Amovaz","Saroki Guest House"
32.19523828,68.36369675,1217300,"District Center","District Center Primary School"
33.68071057,69.45869145,1306038,"Kalgar","Kalgar Madrassa"
33.97793247,69.83788608,1307077,"Kotkai","Kotkai Mosque"
33.31245426,69.89792041,1401010,"Shamal Mardi Khel","Old Mosque"
33.30186096,69.76656403,1402084,"Meta Khan Village ","Meta Khan High School"
33.236315083,70.011179793,1403174,"Ghazi Abad Village","Mister Bill Ghazi Abad Mosque"
33.48108103,70.0511325,1407166,"Korro Village","Korro Village Mosque"
33.62315905,70.12090203,1413103,"Moghul Khel","Moghul Khel Mosque"
34.9396781,70.95419358,1507019,"Kandagal","Kandagal Village Mosque"
34.70483329,70.90350575,1509093,"Tarnab","Tarnab Village School"
35.27069007,71.53062068,1515108,"Khanano Kas","Police Station"
37.08551663,70.22768708,1702047,"Qadam","Qadam School"
36.98296825,70.88040212,1706104,"Chabchi Yardar","Chabchi Yardar School"
37.41817761,70.67620578,1708122,"Maidan Payan","Muragh High School"
36.81804877,70.10085181,1715150,"Hawz Shahr","Mashhad Girls School"
36.63529529,71.14496753,1716099,"Kazdah","Kazdah High School"
37.57843,71.49853,1719214,"Sar Chashma","Sar Chashma High School"
37.00014319,73.26487435,1728210,"Nesht Khor","Nesht Khor Secondary School"
36.75082186,69.45864119,1801020,"Abdaal","Sayed Naser High School"
36.52663091,69.72206533,1806081,"Bag Qazi","Bagh Qazi Primary School"
37.08961,69.477,1812173,"Sareegh","Sareegh High School"
36.68202651,68.92083377,1901036,"Bolak Awal","Bolak Awal Secondary School"
36.57633979,69.03992191,1904149,"Shorab Village","Musa Zai School"
36.480708733,67.946166136,2002021,"Qosh Bara Village","Qosh Bara Secondary School"
35.95861099,67.26799204,2006050,"District Compound","Dehi Boys School"
35.80577975,67.28558157,2007035,"Zeraki Village","Zeraki Girls School"
36.7124089,67.08891609,2101006,"D02 - Nahia 2","Gawhar Shad Begum High School"
36.70951129,67.12680759,2101026,"D06 - Nahia 6 Guzar Qasabha","Agriculture High School"
36.75219386,66.85632417,2106166,"Shenkay Village","Char Bagh Gulshan School"
36.71893284,67.7046496,2110082,"Teba Shekhi Afghania (Laghmani)","Nahid Shaheed School"
35.9471487,66.67716121,2115305,"Boland Areegh Village","Elaqya Girls School"
35.91348145,65.94055242,2203061,"Jarghan","Jarghan High School"
35.77705931,66.28953992,2205102,"Dehmarda Village","Dehmarda Village Mosque"
34.55616574,64.96471488,2301016,"Bara Khana","Bara Khana Clinic"
35.00708528,65.79707234,2301038,"Markaz Isparaf","Isparaf Primary School"
34.18169312,64.77924563,2302238,"Bazar Dolina","Dolina Bazar Tent"
31.45844168,65.26444048,2704192,"Moshan","Shir Ali Place"
30.63460793,64.05237458,3006120,"Banadar","Haji Ali Ahmad Private House"
34.34640806,61.73351925,3205273,"Qala-E- Now Sar Mazar  ","Qalae Now Mosque "
34.50472507,69.18836426,0101012,"Sar-E-Gardana","Sar-E-Gardana Mosque"
34.55047465,69.14191589,0101050,"Taimani Square","Tajwar Sultana Girls High School"
34.52472385,69.0942032,0101089,"Phase B Of Khush-Hal Mina","Naheed Shaheed High School"
34.46065834,69.12801439,0101108,"Sar Asiab","Sar Asiab Girls High School"
34.47308684,69.16026531,0101129,"Tani Kot","Ghazi Adi Girls High School"
34.4911606,69.21367488,0101146,"Qalacha","Abdul Hai Habibi High School"
34.53989118,69.20279402,0101181,"3Rd Makrorian","Haji Abdul Qadir High School"
34.55020827,69.18202951,0101197,"Chahar Qala","Mustafawi Mosque"
34.54684968,69.18978298,0101217,"Qala-E-Khatir","Jafari Mosque"
34.56478611,69.14265277,0101236,"Hesa-E-Duwom, Khair Khana","Sayedul Naseri Girls High School"
34.529871982,69.33204505,0101252,"Ahmad Shah Baba Mina","Qeyamuddin Khadim High School"
34.58018374,69.21478194,0101306,"Qasaba-E-Khana Sazi","Abdul Ahmad Jawed High School"
34.48934239,68.94885838,0102400,"Arghanda-E-Bala","Hasanul Basri School"
34.40566585,69.12147378,0103421,"Qala-E-Loqman","Qala Luqman Primary School"
34.46685639,69.31059484,0104461,"Karez Bakr Village","Ahmadzai Mosque"
34.65916757,69.08967865,0106393,"Qala-E-Dasht","Mohammad Hassan Khan High School"
34.75089672,69.1179676,0108341,"District Compound","Mir Bacha Kot School"
34.73997226,69.07041274,0111384,"Deh Bala","Malik Agha Mosque"
34.82300042,69.17453914,0114365,"Dawod Zai","Dowod Zai High School"
34.485516212,69.652999678,0115516,"Turkani","Turkanai School"
35.10208251,69.33619663,0204028,"Qur Sayedi ","Mohammad Omar Shaheed High School "
34.99778484,69.60459899,0205053,"Yasen Zaye","Yasenzaye School  "
34.998212179,69.162266525,0301018,"Peshan","Jami Peshan Mosque"
34.98899114,69.30585115,0302102,"Sayaad","Nasiri High School"
35.01639248,68.94493679,0303073,"Ashtar Shahar","Nomania High School"
35.09988087,69.25843549,0304049,"Burj-E-Mustofi ","Saifurahman Shaheed High School"
35.261923391,69.201069779,0306069,"Awnamak-E-Salang ","Awnamak Mosque"
34.92934213,68.45583912,0310123,"Dahan-E-Jarf","Dahan-E-Jarf High School"
34.34089229,68.85495174,0401013,"Koh-E-Ibrahim Khel Village","Koh-E-Ibrahim Khel Tent"
34.46999304,68.67113347,0403017,"Bazar-E-Ziarat","Khwaja Mohammad Wali High School"
33.84338278,68.61333912,0405117,"Haft Asia","Tent In Haft Asia Village"
34.08753708,68.7570973,0405140,"Koh-E-Shaikh Abad","Tent Of Koh-E-Shaikh Abad"
33.77064918,68.35680808,0408072,"Sadad-E-Sarband Village","Sayed Farooq House"
33.831149034,68.334564923,0408073,"Kushan","Kudan School"
34.53758421,67.65959812,0409046,"Gardan Qada","Gardan Qada Mosque"
33.95679051,69.05197173,0501004,"Pad Khawb Khadr","Pad Khawb-E-Shana Secondary School"
33.97139606,68.97278846,0502026,"Pandah","Pandah School"
34.02979997,69.30181612,0504048,"Kandow","Sheen Gul Qala"
33.70766714,68.87816979,0506070,"Horya Khel","Horya Khel Primary School"
34.42581902,70.45115496,0601011,"D02-Nahia 2","Bibi Hawa High School"
34.42343013,70.46385866,0601032,"D04-Nahia 4","Chelmetra Mosque"
34.37151936,70.56377051,0602056,"Samar Khel","Samar Khel School"
34.37740982,70.32659714,0603080,"Shekh Mesri","Clinic "
34.25915846,70.32535229,0604104,"Daago Village","Daago Loy Kali Mosque"
34.42051421,70.60235553,0605173,"Zershwee","Murad Ali High School"
34.20967133,70.49033252,0607133,"Mazeena","Mazeena Mosque"
34.25040981,70.17181719,0608284,"Qilgho","Qilgho High School"
34.36931434,70.74896103,0614484,"Sarband Village","Sarband Primary School"
34.18753056,70.82417499,0616425,"Katelay","Kangalan Mosque"
34.15132149,70.80951108,0620400,"Landai Village","Nasrat Mosque"
34.55675084,70.21066065,0702040,"Kharoty","Kharoto Village Hazrat Omar Mosque"
33.70822667,68.39222101,1103082,"Deh Darat","Deh Darat Mosque"
33.54554507,68.13561728,1106117,"Deh Shashi","Deh Shashi New Mosque"
33.82643098,67.73495481,1110263,"Korala Village ","Koralah Village Mosque"
33.2677825,67.89973167,1111191,"Sang Deh Gulko","Sang De Mosque"
33.12033261,69.01820021,1205285,"Musto Khan Bagh","Sar Rawza Clinic"
32.55326023,69.19936929,1214262,"Petogay","Saifurahman Guest House"
32.19613199,68.35680112,1217219,"Bazar","Bazar Mosque"
33.52412326,69.33456877,1301010,"Dara","Dara High School"
33.47088388,68.92159197,1303090,"Koti Khel","Koti Khel School"
33.9300556,69.74879891,1307062,"Speri Village","Speri School"
33.89187725,69.68121907,1308143,"Worsak Village, Ahmad Khel","Sakandar Khel Clinic "
33.77034833,69.53137438,1313052,"Chorrkay, Merzaka","Chorrkay School"
33.34230395,69.90925164,1401021,"Khost City, Maton Tapa","Former Civil Hospital "
33.35003744,69.50374728,1412156,"Sayed Khail Village","Sayed Khel Clinic"
35.33002561,70.89700273,1601007,"Pashki","Pashki Dar-Ul-Ulom "
36.2284368,67.11110484,2107260,"Aqcha Dalan Village","Takya Khana Aqcha Dalan "
36.49898077,66.53918151,2108220,"Emam Sahib 2 Village","Emam Sahib Number 2 School"
35.11118596,65.25089541,2304067,"Falakhor","Falakhor Mosque"
34.13652324,63.75256255,2309185,"Abshikan ","Arbab Ghafoor Private House"
33.78331847,66.24121903,2402023,"Chaharaspan","Chaharaspan Mosque"
33.24524656,66.06978318,2403113,"Rabat Khushk","Old Governmental Building"
33.78840612,65.77938008,2405099,"Kaloh","Kaloh Mosque"
33.7724811,66.91130099,2407165,"Sangan","Sangan School"
33.19352897,65.66817822,2409058,"Surkh Sarak","Surkh Sarak Menbar"
32.88017712,66.12014256,2503021,"Sarab Village","Sarab Village School"
33.091449996,66.44404153,2503022,"Kamisan","Kamisan Madrassa"
32.10407297,66.90534233,2601001,"Shaarwali","Bibi Khala High School"
31.59075515,65.90276807,2703077,"Momand Qala","Hayatullah Private House"
31.615271088,65.854756419,2703078,"Nisaji","Nisaji School"
31.58367484,65.43379528,2705159,"District Compound","District Building Office"
36.94850619,66.32245817,2809062,"Fath Abad","Fath Abad School"
36.10373331,64.65371434,2902017,"Badqaaq","Badqaaq School"
36.96060735,65.15128066,2914179,"Arab Shah Bala","Arab Shah Bala Mukhtalat Primary School"
31.426721857,64.324783291,3003106,"Khusr Abad Sharqi","Khusr Abad School"
31.79544103,64.69389591,3004058,"Pasaw","Haji Ali Mohammad Private House"
32.23390528,65.00841077,3008132,"Bostanzai ","Bostanzai School"
30.5434244,63.48447149,3011218,"Taayez","Shahbaz Private House (Kochi Center)"
34.97364965,63.05279613,3102036,"Aabkamari School ","Aabkamari Village School "
35.08402911,63.17350147,3103021,"Kamari","Kamari Clinic"
34.62355905,64.23017242,3106097,"Marghzar ","Kalan Mosque"
34.34882105,62.15970892,3202071,"Hauz Karbas Village","Hauz Karbas Girls School"
34.24840463,62.62744268,3206126,"Mahmura Village ","Mamora Mosque"
34.92929974,62.23642445,3207188,"Shirwani Village ","Shirwayee School "
35.42386406,61.34292269,3208205,"Kariz Elyas","Kariz-E- Elyas Clinic "
34.37569006,63.2047082,3212367,"Band-E-Benafsh Village","Band-E-Benafsh Girls School"
33.29699668,62.12684206,3214464,"Sangistan ","Sangistan School "
32.38732693,62.1034964,3301011,"Yazdeh Village ","Yazdeh Village Boys High School"
32.36393134,61.46067297,3304081,"Ganak ","Gang Primary School "
32.75348018,62.59850452,3306134,"Farah Rud ","Primary School "
33.1640279,63.30637977,3311188,"Farah Rud ","Farah Rud Mosque"
32.99876741,63.78587334,3311211,"Arghaman","Arghaman Mosque"
31.06209376,61.8299774,3402017,"Deh Raees Village","Deh Raees Village School"
34.2008652,70.27025198,0611311,"Landi Khel","Landi Khel School"
34.71195918,70.61672871,0612228,"Sargkalak","Sarkalak Mosque"
34.23828044,70.93392389,0617475,"Ghazgai ","Ghazgai Mosque"
34.67417196,70.21160382,0701003,"Mahtarlam","Shahr-E-Naw Exprimental School"
34.78198677,70.11134261,0703091,"Alishang","Najel School"
34.84054849,70.30832835,0704058,"Kachoor","Kachoor School"
34.91791311,70.10153455,0705123,"Mandol","Zarkamar  Mosque"
35.27028123,69.44716186,0802028,"Peyawesht","Peyawesht Girls High School"
35.44591674,69.75303921,0804019,"Mata","Mata Mosque"
35.20898692,69.31201673,0806091,"Koraba","Koraba "
35.25244577,69.70887624,0808048,"Baba Ali","Baba Ali School "
35.98679726,68.68621851,0901011,"Third Nahia","Band Du High School"
35.97281936,68.56272715,0901030,"See Bia U Sad Bia Behind Gorgan","Hazrat Imam Hussain School"
35.87191652,68.43665319,0902078,"Sayad And Khoshak","Sayad And  Khoshk High School"
35.56997383,68.43360231,0903096,"Kalan Guzar Village","Kalan Guzar Boys High School"
36.0438265,69.02114351,0904132,"Arakash","Ara Kash School"
36.24444469,68.85606647,0905044,"Bashar Ha Hassan Tal","Basharha Clinic"
36.18389765,68.751468,0905063,"Shahr-E-Baghlan Jadeed ","Baghlan Jadeedhealth Department"
35.50614657,68.93041497,0906115,"Lalmaie Village","Lalmaie Primary School"
35.7269177,69.39003621,0908189,"Gadali","Gudali Sharif Mosque"
36.30222882,69.12629517,0910155,"Yaka Toot","Abdulmomin Shaheed School"
35.62778169,69.45047622,0912174,"Dehyak","Deh Yak  Mosque"
35.98753128,69.4654617,0913215,"Wach","Wach Primary School"
34.73682192,67.73594397,1001006,"Qazan-E-Nawrozi","Qazan School"
35.00960274,68.05934471,1002028,"Jalmash","Jalmash School"
35.2001518,67.44945999,1003163,"Qala-E-Begal","Munbar Umomi Qala-E-Begal"
34.72329531,66.82387715,1005074,"Dahane Chardeh","Deh Surkh School"
34.82137997,66.66990142,1005094,"Dam Dasht-E-Sabz Dara","Munbar-E-Dam Dasht Sabz Dara"
34.24814021,66.62343968,1006113,"Shenia","Shenia Miyan Kawak Mosque"
34.04832343,66.76256285,1007157,"Shenia Tangi Spi","Shenia Tangi Spi Mosque"
33.55578998,68.42520807,1101017,"Kala-E-Sabz","Kala-E-Sabz Mosque"
33.40142213,68.59733907,1105065,"Jan Abad","Jan Abad Clinic"
33.32943197,68.4410195,1107229,"Meeri Bazar","Meeri Bazar School"
33.3415959,68.5420551,1107250,"Qala-E-Sardar Bazar","Qala-E-Sardar School"
33.269152,68.26496742,1111150,"Gangay Village ","Gangay Village Upper Mosque"
33.26642759,68.11472706,1111167,"Aaheen Village","Bi Bi Zahra Aaheen School"
33.12625119,67.38370024,1114335,"Jodari Village","Jodari Village Mosque"
33.21632545,67.28334131,1114355,"Dahan-E-Dawra Village","Dahan-E-Dawra Village Mosque"
33.0152023,67.07944546,1116300,"Quchangi Village","Qojangi Mosque"
32.8188889,68.5613889,1207101,"Bak Khel","District Center"
33.75744943,69.37177225,1302195,"Noora Khel, Machalgho","Machalgho High School"
33.72077247,69.7825631,1310167,"Lowarry, Peeran","Chinar Mosque"
33.33777777,69.97111111,1401043,"Latak Haji Omer Khan Village","Gul Mar Jan Hojra"
33.36277777,69.79611111,1402094,"Warza Village","Warza Village Mosque"
33.17484773,69.77792093,1404142,"Sinaki","Esa Khel Mosque"
33.3025,69.66277777,1406118,"Pakai Village","Juma Noor Hojra"
34.90182354,71.18520898,1501010,"Sagai","Primary School"
34.78804804,71.10785927,1505039,"Sarkany","Girls School"
34.97048411,70.87692997,1507030,"Kandro","Kandro Village Madrassa"
34.95692357,70.45767337,1604013,"Maleel","Maleel Wa Mashqa Secondary School"
37.26114579,70.60078224,1701001,"Faiz Abad","Faizi Shaheed School"
37.2609404,70.69623054,1701022,"Palang Dara","Palang Dara School"
37.11210881,70.36106574,1702059,"Arghand Village","Arghand Secondary School"
37.23021745,70.4388394,1704035,"Dahan Sabat","Lab Darya Kokcha School"
36.97018977,70.30123011,1707064,"Langar","Shahr-E-Saadat Girls High School"
37.47758473,70.46428399,1709133,"Bed Payan","Qataar Bed Payan School"
36.89013519,70.26799292,1711183,"Bazar Teshkan","Bazar Teshkan School"
37.24339781,70.05734737,1713147,"Malwan","Malwan School"
36.79340121,70.0229343,1715161,"Madana","Qara Bala School"
36.55399678,70.19395888,1717175,"Hangaran","Hangaran Mosque"
37.83465431,70.42384284,1720241,"Raween Zaar","Raween Zaar School"
36.70026816,71.57970045,1723198,"Torbat","Torbat Mosque"
38.44329256,70.8028726,1727271,"Darwaza Payeen District Office","District Building"
36.77087343,69.51405172,1801009,"Gunbad Village","Sray Sang High School"
36.7597084,69.42816105,1801031,"Takhta Koparak","Takhta Koparak Madrassa"
36.766733769,69.335815341,1803189,"Hassan Noor Ali","Raketi Mosque"
36.78593645,69.8126286,1807195,"Qoroq Saay","Qoroq Saay Primary School"
37.0008006,69.37659629,1809056,"Chebq","Chebq Mosque"
36.977548779,69.727214513,1810118,"Narastan Village","Narastan Primary School"
36.44213996,69.33475815,1811070,"Baad Guzar","Baad Guzar Primary School"
36.11807266,70.24337571,1813182,"Pyo","Pyo Primary School"
37.29311,69.80869,1816135,"Khulyan","Imam Azam High School"
36.71477922,68.85351826,1901002,"14Th Road","Veterinary Clinic"
36.75407945,68.83572382,1901024,"D03 - Nahia 3","Zar Khareed Otmanzai High School"
36.82878112,68.68143154,1901047,"Qashlesh Wakil Qara Village","Qashlesh School"
36.72539188,68.71033215,1902121,"Mama Khel","Mama Khel School"
36.5615817,68.89014772,1903208,"Arz Begi Village","Arza Begi Girls Secondary School"
36.67582271,69.01726078,1904159,"Khwaja Pasta Village","Khwaja Pasta Secondary School"
