lat,lon,pc_code,pc_location,pc_name,ps_male,ps_female,ps_total
36.89728457000005,66.13723202000001,2803116,بیش کپه وطنیه,مکتب بیش کپه وطنیه,2,1,3
36.96343980000008,66.08104784000008,2804073,قریه عباش,مکتب نسوان عباس,2,2,4
36.14833376000003,65.44255043000003,2805092,قوش تبه,مکتب ترکمن قدوق,1,1,2
36.93907810000012,66.16367507000008,2807036,قریه قم اریغ,مسجد  قم اریغ,2,1,3
36.85095912000011,66.20989235000006,2807046,قره بویین,مکتب قره بویین,1,1,2
36.84140641000007,66.27208703000007,2807047,چکش سربند,مکتب چکش سربند,1,1,2
35.96700850000013,65.37550769000003,2811100,قریه بتو,مکتب بیتو,2,1,3
35.92006552000003,64.77799058000006,2901001,ناحیه سوم,لیسه عالی تجربوی عربخانه,5,3,8
35.924918300000044,64.77425628000003,2901012,ناحیه سوم,لیسه نسوان نمبر سه (عزیزه شهید),0,5,5
35.866341120000115,64.93297940000005,2902032,بوچه,مکتب بوچه,1,1,2
35.725419180000074,64.81228672000006,2902042,بتو جان,مسجد بتو جان,1,1,2
35.72496989000004,64.91973131000003,2902053,قلعه نیاز بیگ,مکتب قلعه نیاز بیگ,1,1,2
36.10196005000008,64.84271403000008,2903059,صحرایی قلعه,متوسطه ذکور صحرای قلعه,3,2,5
35.86823931000001,64.55492753000003,2904070,قریه خدایمت,مسجد مابین قریه خدایمت,2,1,3
35.94800533000006,65.26823016000004,2905136,کمرک آق بلاق,مسجد کمرک آق بلاق,3,2,5
36.18750664000008,64.87393750000008,2906147,قریه گلزار,مسجد جامع گلزار,2,1,3
36.264429950000036,64.85753478000001,2906156,قریه کوه صیاد,مسجد کوه صیاد,2,2,4
35.65281033000005,64.09299695000004,2907089,یکه باغ,مکتب یکه باغ,2,1,3
35.67724840000009,64.26213791000006,2907100,بوری,مکتب متوسطه ذکور بوری,2,1,3
35.70111522000004,64.31047140000005,2907111,کوهی,مکتب کوهی,2,1,3
35.71294251000004,65.22254095000007,2908130,سرچکان,مسجد جامع سرچکان,2,2,4
36.37409887000007,64.91360899000006,2909162,توپخانه قلعه,مکتب نسوان توپخانه قلعه,3,2,5
35.729125800000105,63.86578698000006,3107142,قریه نغاره خان,قریه نغاره خان,2,1,3
34.26250000000005,70.77250000000006,0609461,سپين خوړ,سپين خوړ جومات,1,1,2
34.05610797999999,70.64857316000008,0615367,دوکان کلي,پییښی دوکان کلي جومات,2,0,2
35.35334459000006,64.56117561000006,2910114,دهندره,مکتب دهندره,2,1,3
36.863953870000046,65.06316230000003,2911171,مرکز قرمقول,تعمیر ولسوالی قرمقول,2,2,4
36.824192419999974,65.03144675000004,2911172,سربند,مکتب متوسطه سربند,1,1,2
36.87617979000003,65.08191845000003,2912196,میر آباد,مسجد حاجی لار,2,1,3
36.90420687000009,65.12089832000002,2913189,اخته چی پایان,مکتب متوسطه رحمت الله شهید,3,2,5
31.584213390000077,64.3650061100001,3001005,ناحیه 2,د هلكانو ليسه,7,0,7
31.57951682000007,64.37751059000006,3001016,صافیان,د خروټو مسجد,4,3,7
31.53160390000006,64.35808303,3001017,لوی کاریز,د نیک محمد کور,4,1,5
31.666833610000037,64.33441814999999,3001027,دولیزو کلی,زوړ مکتب باباجی,2,2,4
31.712946780000042,64.38582700000003,3001028,باباجی,خانه ابراهیم خان,2,2,4
31.796640780000114,63.90230227000006,3002068,لوی مانده,مكتب ابتدائيه,4,0,4
31.47958662000005,64.30519911000003,3003090,تریخ زابر,د حاجی غلام علي مسجد,3,1,4
31.23753567700004,64.22098365200004,3003101,لوی کلی,د لوی کلی مكتب,3,0,3
31.13079509000002,64.19869144000006,3006126,د حاجی محمد لعل کلي,د ولسوالي مركزی مكتب,2,1,3
32.34010420000007,64.77329545000008,3009189,چنه سفلی,مارکیت لعل جان,4,3,7
30.685459960000053,63.45453481000006,3011212,قلعه ګو لو  مکتب,د دوست محمد مسجد,4,0,4
31.537029590000042,64.12232147,3014072,بلاک ۲۵,لیسه مار جه,3,1,4
31.292807341000128,64.05508292800006,3014088,شین غزک,تعمیر(کوچی مرکز) شین غزک,1,1,2
34.931614790000076,63.126601350000094,3101010,قریه سرچشمه کندلان,مکتب  قریه کندلان,3,2,5
34.817121940000014,62.98214325000003,3102041,گل خانه,مسجد قریه گل خانه,1,1,2
34.995570610000016,63.29095889000008,3103026,اندری,مکتب اندری,1,1,2
34.78803294000002,63.50922407000008,3104062,زیارت,مسجد جامع قریه زیارت,1,1,2
34.922663840000034,63.44267507000008,3104072,شوراب بالا,مسجد قریه شورآب بالا,1,1,2
35.08734778000009,63.46398471,3104084,دره بوم,تعمیر ولسوالی دره بوم,2,1,3
34.91397267000008,64.38803388000007,3106102,تگاب بیست,مکتب تگاب بیست,1,1,2
34.73186335000008,64.39488717000003,3106114,شور آبک,مسجدشور آبک,1,1,2
34.788424860000106,64.6654438100001,3106179,دهن درم الله یار,مسجد دهن درم الله یار,1,1,2
34.35120526000002,62.18965406000006,3201010,ناحیه پنجم,لیسه مهری,6,7,13
34.34718061000001,62.19044354000011,3201020,ناحیه هفتم,مجتمع خواهران,0,6,6
34.33015841000007,62.18701823000001,3201031,ناحیه دهم,لیسه سیفی,6,7,13
34.21159790000005,62.21926535000007,3201433,ولسوالی گذره مقابل میدان هوایی,مسجد شهرک صنعتی,6,0,6
34.287961150000065,62.26027050000003,3202044,قریه نوین علیا,ليسه نوين عليا,2,1,3
34.33616043000003,62.08929963000005,3202054,قریه صوفیان,مکتب ابتدایی صوفیان,2,1,3
34.504419290000065,62.20890174000003,3202055,قریه پروانه,مکتب متوسطه پروانه,2,1,3
34.31100327000005,62.22637120000008,3202065,قریه  سروستان,مکتب متوسطه سروستان,3,2,5
34.268279440000065,62.15871020000006,3203092,قریه گوشمیر,لیسه شمس الدین کورت,2,1,3
34.250411190000115,62.12261904000008,3203103,قریه تنغارشان,مکتب متوسطه تنغارشان,1,1,2
34.0982295900002,62.13458523000003,3203114,پشت کوه ملا یاسین,مکتب متوسطه پشت کوه ملا یاسین,1,1,2
34.50352369000009,62.48116607,3204153,علی آباد,مکتب علی آباد,2,1,3
34.49581570000002,61.942471690000055,3205267,چشمه غوری,تعمیر جدید چشمه غوری,1,1,2
34.23370899000007,62.66974257000005,3206120,قریه دوغ آباد,مسجد دوغ آباد,2,1,3
34.25318802000004,62.46315438000006,3206132,قریه بوکه,مکتب بوکه,2,1,3
34.22681341000006,62.86732867000006,3206133,قریه چیورشی,مسجد چیورشی,2,0,2
34.29268952000003,62.661377910000056,3206141,قریه گوشک,مسجد گوشک,1,1,2
34.79716161000011,62.136105070000035,3207166,مرکز کشک رباط سنگی دوم,لیسه دخترانه مرکز کشک رباط سنگی دوم,1,3,4
34.89908789000003,62.16356194000009,3207174,قریه دیزوری دوم,مکتب دوغی دیزوری دوم,0,2,2
35.045833330000065,62.236361110000104,3207184,قریه خلاوک های علیا و سفلی,مکتب خلاوک ها,2,1,3
35.12015833000005,62.30364166000004,3207193,چهل دخترعلیا,تعمیر حمام چهل دختر اول,5,0,5
33.655920730000055,62.51505994000004,3209277,قریه غوری,مسجد غوری,2,1,3
33.771205470000105,62.250506930000036,3209278,قریه میرعلی,مکتب متوسطه میرعلی,2,1,3
33.674388070000084,62.51752147000009,3209289,قریه ظهرک,مسجد ظهرک,1,2,3
33.54018763000004,62.652305870000106,3209460,ده خار,مسجد ده خار,2,1,3
34.747565920000056,62.77996648000003,3210421,قریه گله چغر,مسجد جامع گله چغر مردانه,2,0,2
34.41739583000004,61.52789287000012,3211252,قریه سبول,مسجد جامع سبول,2,1,3
34.27236718000008,62.965517072000054,3212380,قریه رباط آخند,مکتب پسرانه رباط آخند,2,0,2
34.65804204000002,61.19986264000001,3213230,مرکز کهسان,لیسه کهسان,5,3,8
34.6665328900001,61.15635637000009,3213240,قریه ته خم,مسجد قریه ته خم,2,1,3
33.30987171000009,62.137695090000115,3214302,قندیز دوم,مسجد قدیمی قندیز دوم,2,1,3
33.338639050000026,62.32015453000009,3214324,عزیز آباد,مدرسه عزیز آباد,3,1,4
33.241388710000074,63.03977999000007,3214346,قبر میر,مسجد قبر میر کوه زور,2,1,3
33.8482119,63.444474720000066,3215353,قریه تیک,مکتب متوسطه تیک,2,1,3
34.3361893400001,63.737947860000055,3216389,مرکز چشت شریف,مکتب اسد الله چشتی,3,1,4
34.365118460000126,64.05049028000006,3216399,قریه دره تخت,کلینیک دره تخت,2,1,3
32.403007480000035,62.110075600000044,3301004,قلعه بهبود,مسجد قلعه بهبود,3,2,5
32.38838896000015,62.13117430000004,3301005,چهار برجک,مسجد جامع,3,2,5
32.446460880000046,62.16791318000002,3301028,دهک کلان,لیسه مردانه,3,1,4
32.460010469999986,61.07509497000004,3304075,رباط,مسجد رباط,1,1,2
32.156759380000075,61.56286955000007,3305086,دهزک,مکتب ابتدائیه دهزک,1,1,2
32.63172393000012,62.45813061000006,3306128,گنج آباد,مکتب ابتدائیه گنج آباد,1,1,2
32.79953858000009,61.64947947000005,3307065,کلاته ملا حیدر,مکتب ابتدائیه کلاته ملا حیدر,1,1,2
31.57149851000008,61.514479120000004,3309101,خیر آباد,مسجد خیر آباد,1,1,2
33.16476628000005,64.16078924000006,3311193,واسپ,مسجد واسپ,1,1,2
33.18888888,63.75555555000002,3311205,کمرک بالا,مسجد کمرک بالا,1,1,2
32.96528441000003,63.30060398000005,3311216,کالوشت,مسجد کالوشت,1,1,2
30.96485657000012,61.89371427000005,3401008,زرنج,کمپ هندیها (مرکز اضافه شده),3,2,5
